Answer,Cat
I need a new check book,Account
I Want to open a bank account,Account
If I open an account what is the minimum balance needed?,Account
Can I linking account with 3rd party wallets like phonepay and paytm.,Account
Is there any age requirement to open Multi Currency Autosave Account?,Account
How to update my account mailing address,Account
Want to know satus of my salary account application,Account
Want to know satus of my current  application,Account
Order a new checque book,Account
I have recently shifted to another location. How can i change my address?,Account
How can i increase my daily transaction limit?,Account
My hard token doesnt show the value. How can i request for new token?,Account
am i eligible to open trading account?,Account
How can I change my mailing address?,Account
Can I close my account online?,Account
why is there a duplicate transaction on my account. can i get the details,Account
i had lost my atm card. whats the procedure to get a new one. will there by any charges to issue a new card,Account
There is an issue with my last transaction,Account
I have lost my atm card.What should I do now?,Account
How do I get A new security token.,Account
Can I access all my accounts with DBS Bank and POSB Bank?,Account
There was suspicious transactions in my account. How can i set alert to prevent it?,Account
What information can I obtain under Account Summary?,Account
How often is my Deposit Account information updated?,Account
Why cant I view some of my DBS or POSB accounts?,Account
I want to know my account balance,Balance
What is the balance of my saving account,Balance
Whats my account balance,Balance
What is the minimum average balance for my savings account?,Balance
Can i know my balance?,Balance
Show me balance of my current account,Balance
What is my balance,Balance
I am not able to get my account balance,Balance
Why my account balance shows low?,Balance
balance enq,Balance
how do I check balance of current account? Can I transfer the balance to another account?,Balance
I did a transfer but my account balance is not reflected after that,Balance
What is an available balance?,Balance
What does funds on hold mean?,Balance
How long does it typically take for pending funds to clear?,Balance
How is my available balance calculated?,Balance
Are net gains affected by the holding period?,Balance
My balance hasnt cleared and I want to withdraw funds immediately what do I do?,Balance
Whats the address of Tampines branch?,Branch
I am at Bedok now. What is the nearest ATM?,Branch
Tell me the branch address which has account opening facility near Changi airport.,Branch
Wheres the nearest branch to Sengkang,Branch
What time does Tampines branch open,Branch
Where are the coin despoit machines located?,Branch
can i know my nearest branch details?,Branch
Can you advise on the operating hours?,Branch
Is the bedok branch open today,Branch
Can I have my credit card blocked,CreditCard
Can I get credit card limit increased,CreditCard
Give me some details on credit cards,CreditCard
Whats the cash rebate you offer?,CreditCard
 If I swipe my card at India will I be charged?,CreditCard
 Give me some details on different credit cards you offer,CreditCard
how can I apply for balance transfer credit card,CreditCard
what are the applicable fees and charges for a  credit card,CreditCard
